150, PA5-G-Output.txt, 6
76.6341  -37.1834   -9.9843  159.6028  -33.5675  101.9273
  35.487   -12.784   -7.116   35.487   -12.784   -7.116   0.000
  -24.446   -29.999   -25.377   -24.446   -29.999   -25.377   0.000
  1.975   24.474   27.600   1.975   24.474   27.600   0.000
  10.971   -18.695   -14.999   10.971   -18.695   -14.999   0.000
  25.808   -6.543   30.346   25.808   -6.543   30.346   0.000
  2.069   -7.584   38.837   2.069   -7.584   38.837   0.000
  -32.499   -14.611   -34.462   -32.499   -14.611   -34.462   0.000
  -0.126   10.618   -8.268   -0.126   10.618   -8.268   0.000
  -33.023   4.713   -17.821   -33.023   4.713   -17.821   0.000
  8.268   -8.553   35.215   8.268   -8.553   35.215   0.000
  22.839   -17.374   -26.217   22.839   -17.374   -26.217   0.000
  -31.295   -10.818   -36.106   -31.295   -10.818   -36.106   0.000
  -24.950   -6.193   -4.968   -24.950   -6.193   -4.968   0.000
  0.756   -7.352   34.837   0.756   -7.352   34.837   0.000
  20.045   3.556   -30.516   20.045   3.556   -30.516   0.000
  -1.258   4.093   -21.998   -1.258   4.093   -21.998   0.000
  -32.305   3.376   -13.305   -32.305   3.376   -13.305   0.000
  -26.011   -11.219   -42.397   -26.011   -11.219   -42.397   0.000
  32.544   -1.460   23.623   32.544   -1.460   23.623   0.000
  3.860   -15.354   -29.540   3.860   -15.354   -29.540   0.000
  -14.664   12.303   9.117   -14.664   12.303   9.117   0.000
  -3.364   -17.479   -39.812   -3.364   -17.479   -39.812   0.000
  42.662   -1.451   9.172   42.662   -1.451   9.172   0.000
  10.475   14.442   -32.208   10.475   14.442   -32.208   0.000
  -31.478   7.339   -18.925   -31.478   7.339   -18.925   0.000
  -36.032   1.047   -27.846   -36.032   1.047   -27.846   0.000
  -8.642   -4.378   -44.059   -8.642   -4.378   -44.059   0.000
  3.800   1.506   -16.956   3.800   1.506   -16.956   0.000
  -31.356   6.332   -15.658   -31.356   6.332   -15.658   0.000
  9.715   8.473   -12.069   9.715   8.473   -12.069   0.000
  -33.603   -22.644   -17.029   -33.603   -22.644   -17.029   0.000
  22.439   -6.051   42.865   22.439   -6.051   42.865   0.000
  -33.614   -22.455   -28.319   -33.614   -22.455   -28.319   0.000
  -2.010   21.933   58.875   -2.010   21.933   58.875   0.000
  25.295   14.168   57.013   25.295   14.168   57.013   0.000
